,,,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
,,Number of Records,,,328,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,78,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
,,Number of Records,,,,,474,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,11%,,,,,,,,,,,,,,
,,Number of Records,,,,,,364,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
,,Number of Records,,,,246,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,14%,,,,,,,,,,,,
,,Number of Records,,,,,,,,445,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,7%,,,,,,,,,,,
,,Number of Records,,,,,,,,,224,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,255,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
,,Number of Records,,,,,,,,,,,138,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,22,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,3%,,,,,,,,,,
,,Number of Records,,,,,,,,,,93,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,138,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,7,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,14,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,56,,,,,,
Anthropology 010,A,% of Total Number of Records along Grade Code Final,,16%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,4%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,16%,,,,,,,,,,,,,,,,,,,
,,Number of Records,4,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,16%,,,,,,,,,,,,,,,
,,Number of Records,,,,,4,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,2,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,3,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,4%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,2,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,8%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Anthropology 090X,A,% of Total Number of Records along Grade Code Final,,67%,,,,,,,,,,,,,,,,,,
,,Number of Records,,6,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,11%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
Anthropology 095,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
Anthropology 099,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,100%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
Anthropology 100,A,% of Total Number of Records along Grade Code Final,,30%,,,,,,,,,,,,,,,,,,
,,Number of Records,,132,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,23%,,,,,,,,,,,,,,,,,
,,Number of Records,,,103,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,7%,,,,,,,,,,,,,,,,,,,
,,Number of Records,30,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,46,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
,,Number of Records,,,,,,18,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,9%,,,,,,,,,,,,,,,,
,,Number of Records,,,,41,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,8,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,7,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
,,Number of Records,,,,,,,12,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
,,Number of Records,,,,,,,,,,,2,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,4,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,7%,,,,,,,
,,Number of Records,,,,,,,,,,,,,30,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,2,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,7,,,,,,
Anthropology 101E,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
Anthropology 110,A,% of Total Number of Records along Grade Code Final,,23%,,,,,,,,,,,,,,,,,,
,,Number of Records,,41,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,22%,,,,,,,,,,,,,,,,,
,,Number of Records,,,39,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,11,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
,,Number of Records,,,,,24,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,6,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,23%,,,,,,,,,,,,,,,,
,,Number of Records,,,,41,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,2,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
,,Number of Records,,,,,,,,,,,,,,7,,,,,,
Anthropology 111,A,% of Total Number of Records along Grade Code Final,,14%,,,,,,,,,,,,,,,,,,
,,Number of Records,,11,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,22%,,,,,,,,,,,,,,,,,
,,Number of Records,,,17,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,5,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
,,Number of Records,,,,,14,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
,,Number of Records,,,,,,5,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
,,Number of Records,,,,6,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
,,Number of Records,,,,,,,,,,,,,6,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,8%,,
,,Number of Records,,,,,,,,,,,,,,,,,,6,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Anthropology 112,A,% of Total Number of Records along Grade Code Final,,23%,,,,,,,,,,,,,,,,,,
,,Number of Records,,71,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,16%,,,,,,,,,,,,,,,,,
,,Number of Records,,,49,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
,,Number of Records,15,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
,,Number of Records,,,,,44,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,26,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,19%,,,,,,,,,,,,,,,,
,,Number of Records,,,,59,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,6,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,3%,,,,,,,,,,,
,,Number of Records,,,,,,,,,8,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,5,,,,,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,2,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
,,Number of Records,,,,,,,,,,,,,15,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,3,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,3,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,6,,,,,,
Anthropology 113,A,% of Total Number of Records along Grade Code Final,,35%,,,,,,,,,,,,,,,,,,
,,Number of Records,,23,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,24%,,,,,,,,,,,,,,,,,
,,Number of Records,,,16,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
,,Number of Records,,,,,5,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,2,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,2%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
,,Number of Records,,,,,,,,,,,,,5,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,5%,,,,
,,Number of Records,,,,,,,,,,,,,,,,3,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,3%,,
,,Number of Records,,,,,,,,,,,,,,,,,,2,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Anthropology 114,A,% of Total Number of Records along Grade Code Final,,26%,,,,,,,,,,,,,,,,,,
,,Number of Records,,37,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,22%,,,,,,,,,,,,,,,,,
,,Number of Records,,,32,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,8%,,,,,,,,,,,,,,,,,,,
,,Number of Records,11,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
,,Number of Records,,,,,18,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
,,Number of Records,,,,,,7,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,17,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,3,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
,,Number of Records,,,,,,,2,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,3%,,,,,,,,,
,,Number of Records,,,,,,,,,,,4,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
,,Number of Records,,,,,,,,,,,,,9,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,3,,,,,,
Anthropology 115,A,% of Total Number of Records along Grade Code Final,,9%,,,,,,,,,,,,,,,,,,
,,Number of Records,,5,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,17%,,,,,,,,,,,,,,,,,
,,Number of Records,,,9,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,17%,,,,,,,,,,,,,,,
,,Number of Records,,,,,9,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,4,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,7%,,,,,,,,,,,,,,,,
,,Number of Records,,,,4,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
,,Number of Records,,,,,,,,5,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
,,Number of Records,,,,,,,4,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,17%,,,,,,,
,,Number of Records,,,,,,,,,,,,,9,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Anthropology 116,A,% of Total Number of Records along Grade Code Final,,23%,,,,,,,,,,,,,,,,,,
,,Number of Records,,17,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,19%,,,,,,,,,,,,,,,,,
,,Number of Records,,,14,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,7%,,,,,,,,,,,,,,,,,,,
,,Number of Records,5,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,16%,,,,,,,,,,,,,,,
,,Number of Records,,,,,12,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,6,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,16%,,,,,,,,,,,,,,,,
,,Number of Records,,,,12,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
,,Number of Records,,,,,,,,4,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
,,Number of Records,,,,,,,2,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
Anthropology 117,A,% of Total Number of Records along Grade Code Final,,37%,,,,,,,,,,,,,,,,,,
,,Number of Records,,26,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,15%,,,,,,,,,,,,,,,,,
,,Number of Records,,,11,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,11%,,,,,,,,,,,,,,,,,,,
,,Number of Records,8,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,20%,,,,,,,,,,,,,,,
,,Number of Records,,,,,14,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
,,Number of Records,,,,,,3,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
,,Number of Records,,,,6,,,,,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
Anthropology 120,A,% of Total Number of Records along Grade Code Final,,32%,,,,,,,,,,,,,,,,,,
,,Number of Records,,71,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,18%,,,,,,,,,,,,,,,,,
,,Number of Records,,,41,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
,,Number of Records,12,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,22,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
,,Number of Records,,,,,,12,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,13%,,,,,,,,,,,,,,,,
,,Number of Records,,,,29,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,7,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,5,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,10,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,10,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,4,,,,,,
Anthropology 121,A,% of Total Number of Records along Grade Code Final,,61%,,,,,,,,,,,,,,,,,,
,,Number of Records,,113,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,19%,,,,,,,,,,,,,,,,,
,,Number of Records,,,35,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
